I_arcSum	I_inj_total	V_InjD12
4.1867576	-3.573082	0
4.409833	-5.3405914	0
4.6312294	-5.3481369	0
4.4081535	-5.7974548	0
4.4081535	-5.5841522	0
4.4081535	-2.4993668	0
3.9653604	-5.5992584	0
3.9653604	-3.6117783	0
5.0740232	-5.1655121	0
5.7382135	-5.8427887	0
5.2954197	-5.864563	0
5.0740232	-5.8650208	0
5.0740232	-3.8917465	0
5.2954197	-6.770752	0
5.2954197	-6.5574341	0
5.2954197	-7.4485168	0
5.2954197	-7.2351685	0
5.7382135	-3.9295273	0
5.7382135	-7.0365295	0
4.6295505	-4.6072922	0
3.9653606	-5.9330215	0
4.4081535	-5.0499496	0
4.6295505	-5.064621	0
4.6295505	-5.5139236	0
4.4081535	-2.4291611	0
4.4081535	-4.6384048	0
4.4081535	-3.9833374	0
4.1867571	-4.8744125	0
4.6295505	-5.7725983	0
4.8509474	-3.7922211	0
4.6295505	-6.0085831	0
4.1850777	-3.8073425	0
4.1850777	-6.0236969	0
4.1850777	-6.0312576	0
4.1850777	-6.0388031	0
4.1850777	-6.2672501	0
4.1850777	-3.8522339	0
4.1850777	-6.952095	0
4.6295505	-6.5179062	0
4.1867571	-7.1809845	0
4.409833	-7.4165344	0
4.6312294	-6.77565	0
4.4064751	-8.5502548	0
3.9620028	-5.4583817	0
4.408154	-7.4467545	0
4.6312304	-7.2334366	0
4.6312304	-7.6827469	0
4.4098334	-6.7996902	0
4.4098334	-3.4940414	0
4.6312304	-6.821907	0
4.6312304	-5.5041809	0
4.1867576	-5.718399	0
4.1867576	-4.8353195	0
4.6329088	-3.2967224	0
5.300457	-4.6366653	0
4.8543053	-2.4425201	0
4.6312294	-5.3215179	0
4.6312294	-4.8873215	0
4.8526263	-5.9992752	0
4.8526263	-6.0068359	0
4.4081535	-2.252327	0
4.4081535	-4.6895752	0
4.4081535	-3.8206863	0
4.4081535	-6.2579346	0
4.4081535	-6.0446243	0
4.1850777	-5.8312988	0
4.1850777	-6.0597305	0
4.4064746	-2.7540741	0
4.1867571	-5.8539658	0
3.9670396	-6.53125	0
4.1884365	-7.1943588	0
4.6312294	-6.9810333	0
4.6312294	-4.3380127	0
4.6312294	-5.8917313	0
4.409833	-4.5811157	0
3.9670396	-8.3507614	0
3.968719	-7.0259018	0
4.1917944	-6.5846024	0
3.9703979	-6.8130493	0
4.1901155	-4.3980103	0
4.409833	-6.3934937	0
4.4115124	-5.9663849	0
3.968719	-7.9618683	0
3.968719	-7.969429	0
3.7473221	-5.9890594	0
3.7473221	-5.3268585	0
3.9687185	-0.019088745	0
3.743964	-3.1260757	0
3.2994914	-2.9269714	0
3.5225673	-3.6042557	0
3.3011706	-0.95413971	0
2.6336226	3.890564	0
1.9677534	5.2011948	0
1.5266392	11.371185	0
0.19490105	14.227989	0
-0.47264707	18.844711	0
-1.3615921	25.456474	0
-2.2505369	30.73587	0
-3.5822754	39.770203	0
-4.9156928	43.510513	0
-6.2491102	53.000832	0
-7.1380548	58.059326	0
-8.025321	64.671089	0
-9.1373425	71.496635	0
-10.251041	74.574295	0
-10.474117	80.965157	0
-11.139986	83.829056	0
-11.584459	88.232033	0
-12.475082	91.979439	0
-12.699839	95.52018	0
-12.478441	99.937325	0
-12.255364	97.058334	0
-12.033968	99.494675	0
-11.812572	98.176025	0
-11.369778	99.0662	0
-10.703909	99.058647	0
-9.8149643	97.291161	0
-8.9276981	98.623093	0
-7.3762422	93.542374	0
